Season,Match Date,Home Score,Home Team,Away Score,Away Team,Competition,Attendance,Venue,Referee
1990-91,"Sunday, 24th February 1991",16,Sheffield Eagles,19,Salford,Challenge Cup 2 (16),1990,"Don Valley Stadium, Sheffield, England",Jim Smith
1990-91,"Wednesday, 27th February 1991",6,Bradford Northern,10,Sheffield Eagles,League,,,
1990-91,"Sunday, 3rd March 1991",14,Widnes,23,Sheffield Eagles,League,,,
1990-91,"Wednesday, 6th March 1991",12,Wakefield Trinity,4,Sheffield Eagles,League,,,
1990-91,"Sunday, 10th March 1991",20,Sheffield Eagles,24,Castleford,League,3840,"Don Valley Stadium, Sheffield, England",David Asquith
1990-91,"Sunday, 17th March 1991",27,Oldham,20,Sheffield Eagles,League,,,
1990-91,"Sunday, 24th March 1991",6,Sheffield Eagles,16,Hull,League,3104,"Don Valley Stadium, Sheffield, England",John Connolly
1990-91,"Sunday, 31st March 1991",62,Sheffield Eagles,16,Hull Kingston Rovers,League,2684,"Don Valley Stadium, Sheffield, England",Gerry Kershaw
1990-91,"Saturday, 6th April 1991",13,Sheffield Eagles,18,Widnes,League,2578,"Don Valley Stadium, Sheffield, England",Colin Morris
1990-91,"Sunday, 14th April 1991",28,Castleford,10,Sheffield Eagles,League,,,
1991-92,"Sunday, 1st September 1991",16,Sheffield Eagles,16,Oldham,League 2,3454,"Don Valley Stadium, Sheffield, England",Gerry Kershaw
1991-92,"Sunday, 8th September 1991",23,Carlisle,12,Sheffield Eagles,League 2,,,
1991-92,"Monday, 16th September 1991",13,Sheffield Eagles,15,Bradford Northern,Yorkshire Cup 1 (16),2012,"Don Valley Stadium, Sheffield, England",Steve Cross
1991-92,"Sunday, 22nd September 1991",22,London Crusaders,44,Sheffield Eagles,League 2,,,
1991-92,"Sunday, 29th September 1991",22,Ryedale-York,26,Sheffield Eagles,League 2,,,
1991-92,"Sunday, 6th October 1991",28,Sheffield Eagles,14,Workington Town,League 2,1488,"Don Valley Stadium, Sheffield, England",Dave Carter
1991-92,"Sunday, 13th October 1991",13,Leigh,14,Sheffield Eagles,League 2,3064,,
1991-92,"Wednesday, 23rd October 1991",35,Sheffield Eagles,14,Rochdale Hornets,League 2,1645,"Don Valley Stadium, Sheffield, England",Jim Smith
1991-92,"Sunday, 27th October 1991",12,Oldham,38,Sheffield Eagles,League 2,,,
1991-92,"Sunday, 3rd November 1991",36,Sheffield Eagles,8,Scarborough Pirates,League Cup Preliminary (64),1226,"Don Valley Stadium, Sheffield, England",Charlie Tidball
1991-92,"Wednesday, 6th November 1991",12,Sheffield Eagles,6,Carlisle,League 2,1228,"Don Valley Stadium, Sheffield, England",David Asquith
1991-92,"Sunday, 10th November 1991",12,London Crusaders,29,Sheffield Eagles,League 2,,,
1991-92,"Sunday, 17th November 1991",6,Ryedale-York,13,Sheffield Eagles,League Cup 1 (32),,,
1991-92,"Sunday, 24th November 1991",44,Bradford Northern,10,Sheffield Eagles,League Cup 2 (16),,,
1991-92,"Sunday, 8th December 1991",2,Workington Town,35,Sheffield Eagles,League 2,,,
1991-92,"Sunday, 15th December 1991",10,Sheffield Eagles,16,Leigh,League 2,1913,"Don Valley Stadium, Sheffield, England",David Asquith
1991-92,"Thursday, 26th December 1991",8,Ryedale-York,6,Sheffield Eagles,League 2,,,
1991-92,"Sunday, 29th December 1991",58,Sheffield Eagles,4,Ryedale-York,League 2,1702,"Don Valley Stadium, Sheffield, England",Kevin Allatt
1991-92,"Sunday, 12th January 1992",18,Oldham,44,Sheffield Eagles,League 2,,,
1991-92,"Wednesday, 15th January 1992",12,Rochdale Hornets,26,Sheffield Eagles,League 2,,,
1991-92,"Sunday, 19th January 1992",22,Carlisle,25,Sheffield Eagles,League 2,,,
1991-92,"Tuesday, 28th January 1992",4,Whitehaven,56,Sheffield Eagles,Challenge Cup 1 (32),,,
1991-92,"Sunday, 9th February 1992",6,Sheffield Eagles,11,Hull,Challenge Cup 2 (16),3227,"Don Valley Stadium, Sheffield, England",John Holdsworth
1991-92,"Sunday, 16th February 1992",48,Sheffield Eagles,8,Workington Town,League 2,1531,"Don Valley Stadium, Sheffield, England",Russell Smith
1991-92,"Sunday, 23rd February 1992",26,Leigh,24,Sheffield Eagles,League 2,4089,,
1991-92,"Thursday, 27th February 1992",36,Sheffield Eagles,12,London Crusaders,League 2,1315,"Don Valley Stadium, Sheffield, England",Jim Smith
1991-92,"Sunday, 1st March 1992",10,Sheffield Eagles,14,Oldham,League 2,2529,"Don Valley Stadium, Sheffield, England",Kevin Allatt
1991-92,"Monday, 9th March 1992",23,Sheffield Eagles,17,Rochdale Hornets,League 2,3849,"Don Valley Stadium, Sheffield, England",Brian Galtress
1991-92,"Sunday, 15th March 1992",18,Workington Town,36,Sheffield Eagles,League 2,,,
1991-92,"Sunday, 22nd March 1992",51,Sheffield Eagles,6,Leigh,League 2,3228,"Don Valley Stadium, Sheffield, England",David Redfearn
1991-92,"Sunday, 29th March 1992",34,Rochdale Hornets,18,Sheffield Eagles,League 2,,,
1991-92,"Sunday, 5th April 1992",32,Sheffield Eagles,14,Carlisle,League 2,6393,"Don Valley Stadium, Sheffield, England",Colin Morris
1991-92,"Sunday, 12th April 1992",38,Sheffield Eagles,4,London Crusaders,League 2,1940,"Don Valley Stadium, Sheffield, England",David Redfearn
1991-92,"Sunday, 19th April 1992",42,Sheffield Eagles,7,Ryedale-York,League 2,2872,"Don Valley Stadium, Sheffield, England",Steve Nicholson
1991-92,"Saturday, 25th April 1992",72,Sheffield Eagles,14,Keighley Cougars,Prem Div QF,1225,"Don Valley Stadium, Sheffield, England",John Connolly
1991-92,"Sunday, 10th May 1992",36,Sheffield Eagles,22,Batley,Prem Div Semi,2512,"Don Valley Stadium, Sheffield, England",Robin Whitfield
1991-92,"Sunday, 17th May 1992",20,Oldham,34,Sheffield Eagles,Prem Div Final,,,
1992-93,"Friday, 28th August 1992",6,Sheffield Eagles,46,Wigan,League,5950,"Don Valley Stadium, Sheffield, England",Robin Whitfield
1992-93,"Sunday, 6th September 1992",10,Warrington,12,Sheffield Eagles,League,,,
1992-93,"Friday, 11th September 1992",34,Sheffield Eagles,14,Halifax,Yorkshire Cup 1 (16),3596,"Don Valley Stadium, Sheffield, England",Russell Smith
1992-93,"Sunday, 20th September 1992",10,Sheffield Eagles,18,St. Helens,League,4286,"Don Valley Stadium, Sheffield, England",Stuart Cummings
1992-93,"Wednesday, 23rd September 1992",8,Bradford Northern,17,Sheffield Eagles,Yorkshire Cup QF,,,
1992-93,"Sunday, 27th September 1992",6,Hull Kingston Rovers,19,Sheffield Eagles,League,,,
1992-93,"Sunday, 4th October 1992",20,Sheffield Eagles,16,Castleford,League,3896,"Don Valley Stadium, Sheffield, England",John Connolly
1992-93,"Tuesday, 6th October 1992",12,Sheffield Eagles,8,Hull,Yorkshire Cup Semi,3017,"Don Valley Stadium, Sheffield, England",Jim Smith
1992-93,"Sunday, 11th October 1992",18,Halifax,13,Sheffield Eagles,League,,,
1992-93,"Wednesday, 14th October 1992",22,Sheffield Eagles,52,Australia,Tour - Australia,5500,"Don Valley Stadium, Sheffield, England",Robin Whitfield
1992-93,"Sunday, 18th October 1992",29,Wakefield Trinity,16,Sheffield Eagles,Yorkshire Cup Final,7918,"Elland Road, Leeds, England",Russell Smith
1992-93,"Thursday, 22nd October 1992",15,Sheffield Eagles,10,Warrington,League,1662,"Don Valley Stadium, Sheffield, England",John Holdsworth
1992-93,"Tuesday, 27th October 1992",10,Chorley Borough,38,Sheffield Eagles,League Cup Preliminary (64),,,
1992-93,"Monday, 2nd November 1992",44,Wigan,10,Sheffield Eagles,League,,,
1992-93,"Sunday, 8th November 1992",31,Warrington,16,Sheffield Eagles,League Cup 1 (32),,,
1992-93,"Sunday, 15th November 1992",28,Sheffield Eagles,12,Hull Kingston Rovers,League,1712,"Don Valley Stadium, Sheffield, England",Ian Ollerton
1992-93,"Sunday, 22nd November 1992",32,Sheffield Eagles,30,Widnes,League,2158,,
1992-93,"Sunday, 29th November 1992",30,St. Helens,20,Sheffield Eagles,League,,,
1992-93,"Sunday, 13th December 1992",31,Sheffield Eagles,14,Leeds,League,4777,"Don Valley Stadium, Sheffield, England",John Connolly
1992-93,"Saturday, 26th December 1992",24,Hull,10,Sheffield Eagles,League,,,
1992-93,"Wednesday, 6th January 1993",10,Sheffield Eagles,26,Halifax,League,2404,"Don Valley Stadium, Sheffield, England",David Atkin
1992-93,"Sunday, 10th January 1993",16,Leigh,14,Sheffield Eagles,League,2243,,
1992-93,"Sunday, 17th January 1993",56,Widnes,10,Sheffield Eagles,League,,,
1992-93,"Sunday, 24th January 1993",30,Sheffield Eagles,16,Salford,League,2278,"Don Valley Stadium, Sheffield, England",Russell Smith
1992-93,"Sunday, 31st January 1993",32,Sheffield Eagles,5,Leigh,Challenge Cup 1 (32),2408,"Don Valley Stadium, Sheffield, England",Jim Smith
1992-93,"Sunday, 7th February 1993",14,Castleford,8,Sheffield Eagles,League,,,
1992-93,"Sunday, 14th February 1993",6,Sheffield Eagles,52,Widnes,Challenge Cup 2 (16),3407,"Don Valley Stadium, Sheffield, England",John Connolly
1992-93,"Friday, 19th February 1993",6,Sheffield Eagles,8,Leigh,League,1982,"Don Valley Stadium, Sheffield, England",John Holdsworth
1992-93,"Sunday, 7th March 1993",46,Leeds,10,Sheffield Eagles,League,,,
1992-93,"Friday, 12th March 1993",21,Sheffield Eagles,12,Bradford Northern,League,2482,"Don Valley Stadium, Sheffield, England",Robert Connolly
1992-93,"Sunday, 21st March 1993",48,Salford,12,Sheffield Eagles,League,,,
1992-93,"Sunday, 28th March 1993",26,Sheffield Eagles,19,Wakefield Trinity,League,3245,"Don Valley Stadium, Sheffield, England",Russell Smith
1992-93,"Sunday, 4th April 1993",50,Bradford Northern,8,Sheffield Eagles,League,,,
1992-93,"Sunday, 11th April 1993",18,Sheffield Eagles,18,Hull,League,2706,"Don Valley Stadium, Sheffield, England",Stuart Cummings
1992-93,"Sunday, 18th April 1993",20,Wakefield Trinity,6,Sheffield Eagles,League,,,
1993-94,"Sunday, 29th August 1993",20,Salford,32,Sheffield Eagles,League,,,
1993-94,"Sunday, 5th September 1993",11,Sheffield Eagles,20,Castleford,League,3046,"Don Valley Stadium, Sheffield, England",Jim Smith
1993-94,"Sunday, 12th September 1993",36,Bradford Northern,26,Sheffield Eagles,League,,,
1993-94,"Sunday, 19th September 1993",14,Sheffield Eagles,40,Halifax,League,4005,"Don Valley Stadium, Sheffield, England",Brian Galtress
1993-94,"Sunday, 26th September 1993",15,Oldham,22,Sheffield Eagles,League,,,
1993-94,"Sunday, 3rd October 1993",20,Sheffield Eagles,30,Wakefield Trinity,League,3096,"Don Valley Stadium, Sheffield, England",Colin Morris
1993-94,"Sunday, 10th October 1993",18,Sheffield Eagles,18,Featherstone Rovers,League,3059,"Don Valley Stadium, Sheffield, England",Neil Wood
1993-94,"Sunday, 24th October 1993",12,St. Helens,19,Sheffield Eagles,League,,,
1993-94,"Sunday, 31st October 1993",18,Sheffield Eagles,15,Hull,League,2244,"Don Valley Stadium, Sheffield, England",Steve Nicholson
1993-94,"Sunday, 14th November 1993",8,Batley,6,Sheffield Eagles,League Cup 2 (32),,,
1993-94,"Sunday, 21st November 1993",32,Widnes,28,Sheffield Eagles,League,,,
1993-94,"Wednesday, 24th November 1993",40,Wigan,10,Sheffield Eagles,League,,,
1993-94,"Sunday, 28th November 1993",22,Sheffield Eagles,36,Warrington,League,3284,"Don Valley Stadium, Sheffield, England",Colin Morris
1993-94,"Sunday, 5th December 1993",8,Sheffield Eagles,31,Leeds,League,3521,"Don Valley Stadium, Sheffield, England",Robert Connolly
1993-94,"Wednesday, 22nd December 1993",28,Sheffield Eagles,22,Salford,League,1605,"Don Valley Stadium, Sheffield, England",John Connolly
1993-94,"Tuesday, 28th December 1993",14,Leigh,24,Sheffield Eagles,League,1985,,
1993-94,"Sunday, 2nd January 1994",30,Sheffield Eagles,17,Hull Kingston Rovers,League,2151,"Don Valley Stadium, Sheffield, England",John Holdsworth
1993-94,"Sunday, 9th January 1994",20,Castleford,18,Sheffield Eagles,League,,,
1993-94,"Sunday, 16th January 1994",28,Sheffield Eagles,29,Bradford Northern,League,3544,"Don Valley Stadium, Sheffield, England",Colin Morris
1993-94,"Sunday, 23rd January 1994",20,Halifax,26,Sheffield Eagles,League,,,
1993-94,"Sunday, 30th January 1994",42,Sheffield Eagles,10,Leigh,Challenge Cup 4 (32),1676,"Don Valley Stadium, Sheffield, England",David Campbell
1993-94,"Sunday, 6th February 1994",28,Sheffield Eagles,14,Oldham,League,2400,"Don Valley Stadium, Sheffield, England",Russell Smith
1993-94,"Sunday, 13th February 1994",22,Widnes,6,Sheffield Eagles,Challenge Cup 5 (16),,,
1993-94,"Sunday, 20th February 1994",11,Wakefield Trinity,23,Sheffield Eagles,League,,,
1993-94,"Sunday, 6th March 1994",28,Featherstone Rovers,38,Sheffield Eagles,League,,,
1993-94,"Friday, 11th March 1994",18,Sheffield Eagles,6,St. Helens,League,2729,"Don Valley Stadium, Sheffield, England",David Campbell
1993-94,"Sunday, 27th March 1994",10,Sheffield Eagles,5,Wigan,League,5465,"Don Valley Stadium, Sheffield, England",David Atkin
1993-94,"Friday, 1st April 1994",48,Sheffield Eagles,4,Leigh,League,1720,"Don Valley Stadium, Sheffield, England",Steve Cross
1993-94,"Monday, 4th April 1994",23,Hull Kingston Rovers,30,Sheffield Eagles,League,,,
1993-94,"Sunday, 10th April 1994",46,Leeds,46,Sheffield Eagles,League,,,
1993-94,"Wednesday, 13th April 1994",25,Hull,22,Sheffield Eagles,League,,,
1993-94,"Sunday, 17th April 1994",21,Sheffield Eagles,6,Widnes,League,2831,"Don Valley Stadium, Sheffield, England",Ray Tennant
1993-94,"Friday, 22nd April 1994",36,Warrington,18,Sheffield Eagles,League,,,
1993-94,"Sunday, 8th May 1994",16,Warrington,32,Sheffield Eagles,Premiership QF,,,
1993-94,"Friday, 13th May 1994",52,Wigan,18,Sheffield Eagles,Premiership Semi,,,
1994-95,"Tuesday, 23rd August 1994",8,Sheffield Eagles,26,Bradford Northern,League,4672,"Don Valley Stadium, Sheffield, England",Robert Connolly
1994-95,"Sunday, 28th August 1994",40,Wigan,16,Sheffield Eagles,League,,,
1994-95,"Sunday, 4th September 1994",6,Workington Town,31,Sheffield Eagles,League,,,
1994-95,"Sunday, 11th September 1994",28,Castleford,9,Sheffield Eagles,League,,,
1994-95,"Sunday, 18th September 1994",29,Sheffield Eagles,8,Warrington,League,3037,"Don Valley Stadium, Sheffield, England",David Campbell
1994-95,"Sunday, 25th September 1994",26,St. Helens,10,Sheffield Eagles,League,,,
1994-95,"Sunday, 2nd October 1994",0,Sheffield Eagles,22,Widnes,League,2085,"Don Valley Stadium, Sheffield, England",Colin Morris
1994-95,"Sunday, 9th October 1994",38,Sheffield Eagles,14,Hull,League,2164,"Don Valley Stadium, Sheffield, England",Stuart Cummings
1994-95,"Sunday, 16th October 1994",30,Leeds,18,Sheffield Eagles,League,,,
1994-95,"Wednesday, 26th October 1994",2,Sheffield Eagles,80,Australia,Tour - Australia,7450,"Don Valley Stadium, Sheffield, England",Ray Tennant
1994-95,"Sunday, 30th October 1994",24,Halifax,20,Sheffield Eagles,League,,,
1994-95,"Sunday, 6th November 1994",40,Bradford Northern,4,Sheffield Eagles,League,,,
1994-95,"Friday, 11th November 1994",20,Sheffield Eagles,36,Wigan,League,2601,"Don Valley Stadium, Sheffield, England",David Campbell
1994-95,"Sunday, 27th November 1994",34,Sheffield Eagles,29,Workington Town,League,1906,"Don Valley Stadium, Sheffield, England",Steve Presley
1994-95,"Sunday, 4th December 1994",46,Sheffield Eagles,10,Leigh,League Cup 2 (32),870,"Don Valley Stadium, Sheffield, England",Ian McGregor
1994-95,"Friday, 9th December 1994",16,Sheffield Eagles,27,Castleford,League,1840,"Don Valley Stadium, Sheffield, England",John Connolly
1994-95,"Sunday, 18th December 1994",26,Keighley Cougars,10,Sheffield Eagles,League Cup 3 (16),,,
1994-95,"Monday, 26th December 1994",30,Sheffield Eagles,22,Doncaster,League,3039,"Don Valley Stadium, Sheffield, England",Ray Tennant
1994-95,"Sunday, 8th January 1995",24,Salford,20,Sheffield Eagles,League,,,
1994-95,"Wednesday, 11th January 1995",14,Featherstone Rovers,24,Sheffield Eagles,League,,,
1994-95,"Sunday, 15th January 1995",14,Sheffield Eagles,41,Wakefield Trinity,League,2274,"Don Valley Stadium, Sheffield, England",David Asquith
1994-95,"Sunday, 22nd January 1995",12,Oldham,14,Sheffield Eagles,League,,,
1994-95,"Sunday, 5th February 1995",35,Sheffield Eagles,31,St. Helens,League,2705,"Don Valley Stadium, Sheffield, England",Alan Bates
1994-95,"Sunday, 12th February 1995",12,Doncaster,22,Sheffield Eagles,Challenge Cup 4 (32),,,
1994-95,"Sunday, 19th February 1995",36,Widnes,18,Sheffield Eagles,League,,,
1994-95,"Sunday, 26th February 1995",7,Sheffield Eagles,19,Widnes,Challenge Cup 5 (16),2295,"Don Valley Stadium, Sheffield, England",Robert Connolly
1994-95,"Friday, 3rd March 1995",16,Hull,20,Sheffield Eagles,League,,,
1994-95,"Sunday, 12th March 1995",26,Warrington,18,Sheffield Eagles,League,,,
1994-95,"Sunday, 19th March 1995",31,Sheffield Eagles,22,Leeds,League,4778,"Don Valley Stadium, Sheffield, England",Russell Smith
1994-95,"Sunday, 26th March 1995",10,Wakefield Trinity,14,Sheffield Eagles,League,,,
1994-95,"Sunday, 2nd April 1995",29,Sheffield Eagles,16,Salford,League,1983,"Don Valley Stadium, Sheffield, England",Karl Kirkpatrick
1994-95,"Sunday, 9th April 1995",12,Sheffield Eagles,17,Oldham,League,2137,"Don Valley Stadium, Sheffield, England",Alan Bates
1994-95,"Friday, 14th April 1995",16,Doncaster,56,Sheffield Eagles,League,,,
1994-95,"Monday, 17th April 1995",26,Sheffield Eagles,16,Featherstone Rovers,League,1882,"Don Valley Stadium, Sheffield, England",John Connolly
1994-95,"Sunday, 23rd April 1995",32,Sheffield Eagles,24,Halifax,League,2823,"Don Valley Stadium, Sheffield, England",David Asquith
1994-95,"Sunday, 7th May 1995",48,Wigan,16,Sheffield Eagles,Premiership QF,,,
1995-96,"Sunday, 20th August 1995",6,Sheffield Eagles,34,Leeds,League,4234,"Don Valley Stadium, Sheffield, England",Alan Bates
1995-96,"Wednesday, 23rd August 1995",52,Wigan,20,Sheffield Eagles,League,,,
1995-96,"Sunday, 27th August 1995",26,Workington Town,20,Sheffield Eagles,League,,,
1995-96,"Sunday, 3rd September 1995",36,Sheffield Eagles,26,Castleford,League,2504,"Don Valley Stadium, Sheffield, England",Colin Morris
1995-96,"Friday, 8th September 1995",24,Sheffield Eagles,38,Warrington,League,4160,"Don Valley Stadium, Sheffield, England",Ronnie Campbell
1995-96,"Wednesday, 13th September 1995",62,St. Helens,20,Sheffield Eagles,League,,,
1995-96,"Sunday, 17th September 1995",28,Halifax,6,Sheffield Eagles,League,,,
1995-96,"Sunday, 24th September 1995",10,Sheffield Eagles,42,London Broncos,League,3717,"Don Valley Stadium, Sheffield, England",Russell Smith
1995-96,"Sunday, 1st October 1995",34,Bradford Bulls,18,Sheffield Eagles,League,,,
1995-96,"Sunday, 5th November 1995",36,Sheffield Eagles,18,Oldham,League,3987,"Don Valley Stadium, Sheffield, England",Steve Presley
1995-96,"Sunday, 12th November 1995",22,Bradford Bulls,0,Sheffield Eagles,League Cup 2 (32),,,
1995-96,"Sunday, 19th November 1995",22,Leeds,27,Sheffield Eagles,League,,,
1995-96,"Wednesday, 29th November 1995",32,Sheffield Eagles,18,St. Helens,League,1743,"Don Valley Stadium, Sheffield, England",Colin Morris
1995-96,"Sunday, 3rd December 1995",8,Warrington,33,Sheffield Eagles,League,,,
1995-96,"Friday, 8th December 1995",34,Sheffield Eagles,8,Workington Town,League,2032,"Don Valley Stadium, Sheffield, England",David Campbell
1995-96,"Sunday, 17th December 1995",14,London Broncos,21,Sheffield Eagles,League,,,
1995-96,"Wednesday, 20th December 1995",38,Sheffield Eagles,14,Halifax,League,1594,"Don Valley Stadium, Sheffield, England",Karl Kirkpatrick
1995-96,"Monday, 1st January 1996",12,Castleford,42,Sheffield Eagles,League,,,
1995-96,"Friday, 5th January 1996",19,Sheffield Eagles,10,Bradford Bulls,League,2451,"Don Valley Stadium, Sheffield, England",John Connolly
1995-96,"Friday, 19th January 1996",24,Sheffield Eagles,36,Wigan,League,4639,"Don Valley Stadium, Sheffield, England",Stuart Cummings
1995-96,"Sunday, 21st January 1996",26,Oldham Bears,16,Sheffield Eagles,League,,,
1996,"Sunday, 28th January 1996",14,Huddersfield,35,Sheffield Eagles,Challenge Cup 4 (32),1990,"Alfred McAlpine Stadium, Huddersfield, England",Steve Presley
1996,"Sunday, 18th February 1996",24,Halifax,20,Sheffield Eagles,Challenge Cup 5 (16),5511,"Thrum Hall, Halifax, England",Steve Presley
1996,"Friday, 29th March 1996",30,Paris Saint-Germain,24,Sheffield Eagles,League,17873,"Charlety Stadium, Paris, France",Stuart Cummings
1996,"Friday, 5th April 1996",40,Sheffield Eagles,24,Bradford Bulls,League,5202,"Don Valley Stadium, Sheffield, England",Russell Smith
1996,"Monday, 8th April 1996",22,Workington Town,54,Sheffield Eagles,League,1904,"Derwent Park, Workington, England",Steve Presley
1996,"Sunday, 14th April 1996",34,Sheffield Eagles,18,London Broncos,League,3888,"Don Valley Stadium, Sheffield, England",Steve Presley
1996,"Sunday, 21st April 1996",36,Leeds,22,Sheffield Eagles,League,9039,"Headingley, Leeds, England",Karl Kirkpatrick
1996,"Friday, 3rd May 1996",20,Sheffield Eagles,12,Castleford Tigers,League,5486,"Don Valley Stadium, Sheffield, England",Stuart Cummings
1996,"Sunday, 12th May 1996",36,Warrington,26,Sheffield Eagles,League,3906,"Wilderspool Stadium, Warrington, England",Russell Smith
1996,"Sunday, 19th May 1996",23,Sheffield Eagles,10,Oldham Bears,League,4076,"Don Valley Stadium, Sheffield, England",Colin Morris
1996,"Wednesday, 29th May 1996",50,Wigan,6,Sheffield Eagles,League,9158,"Central Park, Wigan, England",Steve Presley
1996,"Sunday, 2nd June 1996",33,Halifax Blue Sox,30,Sheffield Eagles,League,4287,"Thrum Hall, Halifax, England",Robert Connolly
1996,"Saturday, 8th June 1996",32,Sheffield Eagles,43,St. Helens,League,6708,"Cardiff Arms Park, Cardiff, Wales",David Campbell
1996,"Saturday, 15th June 1996",52,Sheffield Eagles,18,Paris Saint-Germain,League,5350,"Don Valley Stadium, Sheffield, England",Steve Presley
1996,"Sunday, 23rd June 1996",64,Bradford Bulls,22,Sheffield Eagles,League,8359,"Odsal Stadium, Bradford, England",Stuart Cummings
1996,"Saturday, 29th June 1996",32,Sheffield Eagles,16,Workington Town,League,3468,"Don Valley Stadium, Sheffield, England",Peter Taberner
1996,"Saturday, 6th July 1996",45,London Broncos,8,Sheffield Eagles,League,3572,"The Valley, Charlton, London, England",Steve Presley
1996,"Sunday, 14th July 1996",34,Sheffield Eagles,31,Leeds,League,4265,"Bramall Lane, Sheffield, England",Robert Connolly
1996,"Sunday, 21st July 1996",36,Castleford Tigers,31,Sheffield Eagles,League,4524,"Wheldon Road, Castleford, England",Robert Connolly
1996,"Sunday, 28th July 1996",28,Sheffield Eagles,22,Warrington,League,4000,"Bramall Lane, Sheffield, England",John Connolly
1996,"Saturday, 3rd August 1996",12,Sheffield Eagles,54,Wigan,League,5103,"Bramall Lane, Sheffield, England",Steve Presley
1996,"Sunday, 11th August 1996",42,Sheffield Eagles,28,Halifax Blue Sox,League,3201,"Don Valley Stadium, Sheffield, England",Russell Smith
1996,"Sunday, 18th August 1996",68,St. Helens,2,Sheffield Eagles,League,9021,"Knowsley Road, St. Helens, England",Russell Smith
1996,"Sunday, 25th August 1996",34,Oldham Bears,25,Sheffield Eagles,League,2515,"Watersheddings, Oldham, England",Steve Ganson
1997,"Sunday, 9th February 1997",18,Leigh Centurions,62,Sheffield Eagles,Challenge Cup 4 (32),2030,,
1997,"Sunday, 23rd February 1997",31,Warrington Wolves,18,Sheffield Eagles,Challenge Cup 5 (16),5438,"Wilderspool Stadium, Warrington, England",Stuart Cummings
1997,"Sunday, 16th March 1997",4,Sheffield Eagles,18,Paris Saint-Germain,League,4213,"Don Valley Stadium, Sheffield, England",Robert Connolly
1997,"Sunday, 23rd March 1997",18,Halifax Blue Sox,16,Sheffield Eagles,League,5271,,
1997,"Friday, 28th March 1997",32,Sheffield Eagles,18,Warrington Wolves,League,4112,"Don Valley Stadium, Sheffield, England",Colin Morris
1997,"Monday, 31st March 1997",32,St. Helens,12,Sheffield Eagles,League,10344,,
1997,"Sunday, 6th April 1997",42,Sheffield Eagles,20,Castleford Tigers,League,4735,"Don Valley Stadium, Sheffield, England",Robert Connolly
1997,"Friday, 11th April 1997",17,Salford Reds,16,Sheffield Eagles,League,4686,,
1997,"Sunday, 20th April 1997",18,Sheffield Eagles,30,Leeds Rhinos,League,5332,"Don Valley Stadium, Sheffield, England",Robert Connolly
1997,"Sunday, 27th April 1997",54,Bradford Bulls,10,Sheffield Eagles,League,14834,,
1997,"Sunday, 11th May 1997",14,Sheffield Eagles,18,Oldham Bears,League,4000,"Don Valley Stadium, Sheffield, England",Robert Connolly
1997,"Saturday, 17th May 1997",16,Paris Saint-Germain,32,Sheffield Eagles,League,6788,,
1997,"Friday, 23rd May 1997",24,Sheffield Eagles,49,Halifax Blue Sox,League,3000,"Don Valley Stadium, Sheffield, England",John Connolly
1997,"Monday, 26th May 1997",12,Warrington Wolves,38,Sheffield Eagles,League,4370,"Wilderspool Stadium, Warrington, England",Russell Smith
1997,"Friday, 30th May 1997",32,London Broncos,12,Sheffield Eagles,League,3539,,
1997,"Saturday, 14th June 1997",26,Sheffield Eagles,22,Perth Reds,World Club Championship Qual,2065,"Don Valley Stadium, Sheffield, England",John Connolly
1997,"Friday, 20th June 1997",4,Sheffield Eagles,40,Hunter Mariners,World Club Championship Qual,2350,"Don Valley Stadium, Sheffield, England",Russell Smith
1997,"Sunday, 29th June 1997",58,Wigan Warriors,2,Sheffield Eagles,League,6811,,
1997,"Wednesday, 2nd July 1997",14,Sheffield Eagles,12,St. Helens,League,3200,"Don Valley Stadium, Sheffield, England",Robert Connolly
1997,"Sunday, 6th July 1997",20,Oldham Bears,21,Sheffield Eagles,League,2168,,
1997,"Sunday, 13th July 1997",8,Sheffield Eagles,50,London Broncos,League,3150,"Don Valley Stadium, Sheffield, England",John Connolly
1997,"Saturday, 19th July 1997",48,Perth Reds,12,Sheffield Eagles,World Club Championship Qual,,,
1997,"Saturday, 2nd August 1997",58,Hunter Mariners,12,Sheffield Eagles,World Club Championship Qual,,,
1997,"Sunday, 10th August 1997",24,Sheffield Eagles,22,Wigan Warriors,League,3250,"Don Valley Stadium, Sheffield, England",Karl Kirkpatrick
1997,"Saturday, 16th August 1997",12,Sheffield Eagles,32,Bradford Bulls,League,10603,"Don Valley Stadium, Sheffield, England",Steve Ganson
1997,"Friday, 22nd August 1997",22,Leeds Rhinos,24,Sheffield Eagles,League,9813,,
1997,"Monday, 25th August 1997",30,Sheffield Eagles,12,Salford Reds,League,2943,"Don Valley Stadium, Sheffield, England",Karl Kirkpatrick
1997,"Sunday, 31st August 1997",12,Castleford Tigers,10,Sheffield Eagles,League,5914,,
1997,"Friday, 5th September 1997",26,Sheffield Eagles,16,Warrington Wolves,Premiership Preliminary (16),2500,"Don Valley Stadium, Sheffield, England",Stuart Cummings
1997,"Sunday, 14th September 1997",16,London Broncos,58,Sheffield Eagles,Premiership QF,1750,,
1997,"Sunday, 21st September 1997",22,Wigan Warriors,10,Sheffield Eagles,Premiership Semi,6624,,
1998,"Sunday, 15th February 1998",11,Leigh Centurions,66,Sheffield Eagles,Challenge Cup 4 (32),1391,,
