Timestamp,Are you:,When did you first attend a Sheffield Eagles game?,Would you class yourself as:,When did you last attend a game (home or away)?,What made you first start watching the Sheffield Eagles?,What is your favourite memory of the Sheffield Eagles? ,"Do you have any Sheffield Eagles memorabilia - old photographs, match day programmes, stickers, shirts, press cuttings etc - that you'd be willing to share with the project? If so please provide brief details. ","Can you quickly describe what the Sheffield Eagles means to you, this could be because you are a supporter, a player, a sponsor or an organisation that works with the Club. ",What are some of the stories that are part of the history of the Sheffield Eagles that you think deserve sharing to a wider audience? ,Which of the following would you be interested in taking part in? Please tick as many that apply. You aren't committing yourself to anything we just want to see what people might be interested in.,"What do you see as the possible benefits of a project like this, for you personally, the organisation you work for, rugby league in general or the club specifically? ",Do you think there is a need for a project like this? If so could you say what that need is.,Please let us have any other comments about the project. ,Are You? ,How old are you? ,How would you describe yourself,Could you provide your postcode? This will help us understand where people are responding from. ,,,
9/3/2021 11:44:30,A current Sheffield Eagles fan who attends games,2011- 2021,Someone who has a season ticket and attends all home games,August 15th v Oldham,Heard good things and local,Winning the 1895 cup and winning Championship grand final in 2013,Possibly,"It’s a friendly, family club that doesn’t get the support it deserves, mainly due to no stadium, hence no publicity. The club always punches above its weight and is an unsung credit to Sheffield ","The traumas of surviving with no ground so no chance to attract new fans. The way they have overturned the odds to even survive. The Biggest giant killing ever in sport, that was the Challenge Cup win. The success they have had in such a short history ",Attending events and talks about the history of the club,Preserving the memories and history of the club and helping to introduce new people to the Eagles,"Yes, to preserve the memories and history for future generations ",Great idea,Male,50-59,White,S26,,,
9/3/2021 20:58:54,A player or member of club staff,2011- 2021,Someone who doesn't attend games but follows the results,V york at home ,Pre 2011 started working with them ,Championship wins ,No,An opportunity to work in a professional environment ,,"Carrying out interviews with players, staff or supporters to gather their stories, Researching players - the games they played for their club, their backgrounds, their stories",Expanding thw sport into a wider audience getting people involved ,Kids need other sports than football,,Female,25-39,White,S26,,,
9/3/2021 21:07:56,A player or member of club staff,1991 - 2000,Someone who attends games home or away on a regular basis,Batley away 22.08.21,Eagles went into my primary school recieved a free ticket. ,Sweets on Wednesdays ,Programmes 2021 season. ,Local team ,,,Good for the club. ,Legacy,,Female,25-39,White,,,,
9/3/2021 21:17:06,A player or member of club staff,2001 - 2010,Chaplain. Attend most games,Last home game,Chaplaincy work,Wembley two years ago,No,A great sporting family community ,"Both Wembley stories. How the club was resurrected after the Shuddersfield saga.
Overseas players & what they brought to the club",Attending events and talks about the history of the club,To help the club get greater coverage/awareness across our city & south yorkshire,Yes. As sports history of the club & Rugby League can be taught through school visits & businesses to the OLP with free ticket incentives to give children & adults a match day experience ,,Male,60-69,White,S11,,,
9/3/2021 21:43:28,A player or member of club staff,2011- 2021,Club staff,,2012,Wembley 2019  ,"Yes , i would happily give the club anything it wished ","Camaraderie , being part of a special group of people ","Menzie Yere,s stories from back home and his arrival at sheffield ...
The support the players and people get when injured or when they are having difficulty ","Cataloguing, digitising and recording memorabilia, Taking part in researching the history of the area, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc","Promotion of the sport , promotion of the club and hopefully able to capture the imagination of 
The ypunger generation ","All clubs need a historian ,  stories to inspire a younger generation ",,Male,50-59,White,S70,,,
9/3/2021 22:26:20,A Sheffield Eagles fan who no longer attends games,1984 - 1990,Someone who doesn't attend games but follows the results,2018,I’d watched Barrow with my uncle prior to eagles forming.,Challenge cup semi at headingley ,No,I always look out for their score as they play live. I used to enjoy watching games on Friday evenings.,Too many to mention,,,Yes,,Male,50-59,White,S35,,,
9/4/2021 4:16:00,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,15 August 2021,I had started playing for an amateur team and wanted to see how the professionals did it. ,When we beat Perth Western Reds at Don Valley. ,Yes,,Too many to include here.  ,"To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",Too help record and retain the club’s history for future generations. ,Definitely (see above answer),,Male,50-59,White,S8,,,
9/4/2021 9:54:08,A Sheffield Eagles fan who no longer attends games,1991 - 2000,Someone who used to attend games,2008,I lived in Sheffield and the Eagles had just won the Challenge Cup ,Watching games with members of my local amateur club. ,"I may have an old shirt. I wrote articles for Sheffield University's Steel Press newspaper about the merger and may have a cutting somewhere.
I played for the Eagles Internet Message Board team which turned into the Sheffield Beagles and then the Forgers. I have my original Beagles shirt. ",They were a fun point of commonality which led me to have some good nights out and make friends. ,The re-establishment of the team after the merger. ,,History always needs to be recorded. ,,,Male,40-49,Prefer not to say,DH1,,,
9/4/2021 11:53:03,A Sheffield Eagles fan who no longer attends games,1991 - 2000,Local fan who now lives in New Zealand ,2019,My dad took me,"Winning the Challenge Cup! Otherwise, doing my school work experience with the club back in 2000","Probably, somewhere at home","Although difficult to follow now I live on the other side of the world, supporting the Eagles was always a triumph against adversity. Finding a home, battling mergers, starting again - there's always been things to fight against. With little help from the outside, the club has always done itself proud and overachieved on the pitch given their backing or lack thereof",Mark Aston. Name a person who has done more for one team in any sport ,"All of the above, but options are limited from NZ! ",Hopefully it will instill some pride for the followers and hope inform a few others to be part of the fan base ,Educate and inform. The story of the club is very unique,"Sounds like a great idea! Once travel is allowed once more, I'd love to visit an Eagles museum upon my next visit home",Male,25-39,White,S11,,,
9/4/2021 13:25:19,A Sheffield Eagles fan who no longer attends games,1984 - 1990,Someone who used to attend games,Approx 1993,My friend Katie Peat,Working as a steward on the VIP gate and not letting Gary Hetherington in as he didn't have a ticket - he said he didn't need one. I said look they all think they're important in here hence the title VIP (I didn't know who he was) security had to come over and let him in. He was lovely about it and saw funny sidenit,Not sure will have a look,I met my now husband because of his love of the team and a shared friend. I love the club and how they have a love for the city ,See previous about not letting Gary Hetherington in 😜,,Recording and protecting history and memories of the fans and all associated with an amazing club with a giant heart that has survived through many challenges. Tubby is a legend ,As above it will be of huge interest to all those interested in the club past present and future,,Female,50-59,White,EH48,,,
9/4/2021 14:13:18,A Sheffield Eagles fan who no longer attends games,1984 - 1990,Someone who doesn't attend games but follows the results,Wembley 2019,Family ,"The funniest memory is when David Plange went over the try line in his pants, im sure they where blue and he'd ran at least half the pitch in them 😂 ",,"Mmmm tricky, being the sister and daughter of one of the Sheffield Eagles biggest fans I have found that I have to rearrange many family events around the matches.  However it's also great that my dad gets to spend time with his daughters and his grandsons my son included watching the Sheffield Eagles there's nothing finer than seeing your family happy that their team has won and I got to share that feeling at Wembley 2019 👍",Determination true Yorkshire grit. Mark Aston deserves a knighthood ,,,Yes for the next generation of Rugby League fans,,Female,40-49,White,S20,,,
9/4/2021 14:25:42,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who attends games home or away on a regular basis,Toulouse H 2020,My grandad took me to the first home game in Super League in 1996,"Too many to choose from, but the 2013 GF is up there from a competition domination point of view.",,"Well, I had been going to watch the Eagles at the majority of home games from 96. It was only after watching us win the Challenge Cup final in 1998 on TV that I really caught the bug. I don't remember too many games before 1998, but I really began to get into it after that. From that moment on after the huge upset which, as a youngster, seeing the team I had been watching for a few years go on to cause a major national sporting upset made me really proud and I'd say from that day I became a thorough Eagles fan. However, with the merger with Huddersfield, my family decided to boycott the merged team's games. Unfortunately, being a kid and no longer going and being heartbroken about losing our team put me off rugby league for a few years and didn't go back to watch the new Eagles from 2000 onwards. However, I attended a Red Hot Chilli Peppers concert at DVS in July 2006 and met some Leeds Rhinos fans who were talking to me about the Challenge Cup final in 98. They told me the Eagles were towards the top of League Two on a long winning streak. This encouraged me to go back to a few games that season. These were Swinton, Blackpool and Dewsbury at home. Seeing us beat Dewsbury in the last minute with a Brendon Lindsay drop goal was something I will never forget as they were the runaway leaders at the time. In the 2007 season I went to most home games and in 2008 I got a season ticket as I have done every year since. I guess the Eagles are synonymous with me for always battling against the odds not being from the heartlands and not having as many fans as heartland teams. Yet, despite these issues our teams always have fight, play good attacking rugby and always seem to end up winning silverwear. In addition, I have huge respect for Mark Aston. To see how much work he has put into the club inspires me to keep turning up even during the bad days (2016,2018).",,"Talking with people who aren't supporters about the project, getting them involved",I guess if there is a scheme the project could do whereby it works with the club to provide ticket discounts to people who know an Eagles fan for them to get a taste of a game. I remember this was done in the past and I used to get 6-7 non-fans coming with me to games back in the late 2000s.,,,Male,25-39,White,S21,,,
9/4/2021 16:42:44,Director,1984 - 1990,Someone who attends games home or away on a regular basis,Last week,By accident as always watching Oldham,Championship final win,Books etc,After home life Sheffield Eaglesis next in importance ,The Shuddersfield amalgamation and the restart in 2020,"To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",Rugby league in general ,For prosterity ,The history of the club ups and downs is important ,Male,70 or older,White,OL4,,,
9/4/2021 17:19:25,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,Will be attending tomorrow - 5th Sept 2021,Went with parents,Winning in 2013 the league / Getting to Wembley 2019,"Possibly, happy to share photos of items",Something to look forward to during the season an being part of the fan base.,"Playing in the first ever Super League game in France against PSG 1996, Wembley 1998, first back to champions 2012 & 2013, Wembley 2019. Players travelling France and Toronto representing the team. Developing local players who have gone on to play in League 1, Championship and Super League.","Taking part in researching the history of the club, Carrying out interviews with players, staff or supporters to gather their stories, Attending events and talks about the history of the club, Taking part in researching the history of the area, Helping write about the club for newsletters, exhibitions, leaflets and publications, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",Helping develop Rugby League knowledge in and around Sheffield. ,yes,,Female,25-39,White,S2,,,
9/4/2021 17:46:18,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1991 - 2000,Used to attend games when lived in Sheffield. Hopefully start attending games again in 2022. ,01/09/2019,My mum has supported them since they started so I grew up watching them. My mum started taking me to games when I was a newborn. ,When they played at Don Valley. The atmosphere was ecstatic and it was such an amazing feeling. ,Yes,"Sheffield Eagles is something that has given me strength when I thought that I had none, excitement and devastation. Sheffield Eagles has been a part of 3 generations of my family. My mum started going when they first started, my mum started taking me and my brother when we were newborns, I got my partner into it and we took our son when he wasn’t even a month old. Sheffield Eagles is my life. I may not be able to go to home games atm but I still sit at home every single Sunday refreshing Twitter constantly keeping up with what’s going on and cheering for the Eagles. The Eagles are the reason that I used to play rugby. I don’t know what I would do if I didn’t have to Eagles. ",When they used to do the holiday camps at Hillsborough Arena and when they used to come out to primary schools. I remember going to the camps and when they came to my primary school. It was the highlight of my holiday/week. ,"Being part of the project steering group, Taking part in researching the history of the club, Carrying out interviews with players, staff or supporters to gather their stories, Cataloguing, digitising and recording memorabilia, Attending events and talks about the history of the club, Taking part in researching the history of the area, Helping write about the club for newsletters, exhibitions, leaflets and publications, Researching players - the games they played for their club, their backgrounds, their stories, Talking with people who aren't supporters about the project, getting them involved, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",It gives the club and supporters a chance to show how much the club has affected them and how much of an impression it’s made on their lives. It also lets outsiders know how much fun rugby is and the history of such an incredible club that no matter what gets thrown our way we overcome them and come back stronger. ,Yes. The need is the same as the benefits which I have explained above. ,No,Female,16-25,White,BD4,,,
9/4/2021 20:02:40,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who attends games home or away on a regular basis,August 2021,My uncle was a fan ,Challenge cup 98/ 1895 cup finals,Old press cuttings / programmes ,"The Eagles mean a lot to me - the club and fan base are a close knit family - it’s an inclusive , friendly , caring club - we have always been underdogs and there have been some dark times , but we are survivors , who occasionally pull of some impressive wins!",,,"It could help collate the eagles history and legacy , which is more impressive than many realise ",,,Male,25-39,White,LS6,,,
9/4/2021 22:54:30,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1991 - 2000,Someone who occasionally attends home games,Summer 2020,Local team ,Goddard drop goal vs Dewsbury from downtown ,No,The team I follow even when I fall in and out of RL I will always look for the results and see who is playing etc. ,,,,,,Male,25-39,White,DN11,,,
9/5/2021 10:03:18,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who attends games home or away on a regular basis,London 29/8/21,"My wife was interested in sport and she said let’s go and watch the Eagles, and I have been going ever since, that would be 1992/1993.",Winning the Challenge Cup in 1998,Just some shirts like many supporters.,"The club is quite important to me, I have many friends who I have met through the club, it gives me the chance to meet different people from different places and as a volunteer a feeling that you are doing something useful for the club.","The very early days when Garry Hetherington decided to start a rugby club in a city that is predominantly football, and the players who took a brave step in joining.","Cataloguing, digitising and recording memorabilia, Attending events and talks about the history of the club, Taking part in researching the history of the area, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc","Bring more public attention to the Attercliffe area, let people see that a rugby club does more for the community than just play a game.",I think my comments above show that the project would be beneficial to club and area to show that investment would raise the profile and prove that a project of this nature would be of great benefit.,,Male,60-69,White,S9,,,
9/5/2021 10:23:08,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,Oldham at home,I met my wife in 1992 and she was a fan,2nd Wembley win,No but my wife has loads,It's where we go as a family ,The ill fated merger then battling through loads of adversity just to keep going ,Attending events and talks about the history of the club,,,,Male,50-59,White,S20,,,
9/5/2021 10:27:58,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who attends games home or away on a regular basis,28/08/2021,My dad,Both Wembley wins,"Yes the odd thing, but not sure where it is. If need be I could look for it. ","Sheffield Eagles means a lot to me. It means time watching the sport I am passionate about. It means time spent with my dad, sister, niece, nephews and the fans. The Sheffield Eagles has been a massive part of my life for over 35 years good times and bad. ","Both Wembley wins. The fact that we are a very successful team in Sheffield, yet we have never had a place we could truly call our own. ","Taking part in researching the history of the club, Attending events and talks about the history of the club","The club, we need to spread the word of rugby league in Sheffield.",,,Female,50-59,White,S8,,,
9/7/2021 8:20:26,A player or member of club staff,1984 - 1990,A current or former player,2015,Playee,Playing Widnes ,Between 1989 and 1995 I have lots of stuff,"I have fond memories of playing for the club, and my father continued supporting them until he passed seven years ago. ","Lots, Widnes win, promotion, owleton, the no ground season.",If I can be of assistance let me know,It is good to record history,Yes,,Male,50-59,White,LE15,,,
9/7/2021 13:15:04,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who attends games home or away on a regular basis,Sunday 5th - Eagles v Dewsbury,My dad used to watch Wakefield in the 1960s and we used to watch games together on Grandstand. With the publicity around the Eagles playing Widnes at Bramall Lane after they'd just become world champions we decided to give it a try. We then watch games on an occasional basis before coming season ticket holder the next season and carrying on since then. ,"The trip to Wembley in 1998 and the shock that we were leading, with the second Hal seeming to last forever. There were the celebrations after - Shake a Tail Feather playing on the PA after the game, the pride in wearing an Eagles shirt when we stopped at a service station on the way home. This was then mirrored with the 1895 Cup and being able to attend with my dad, sister and youngest nephew - with a chance to him to experience Wembley and a big game creating family memories. ","A signed, framed picture of the Eagles players from 1998 that I won in a raffle on the supporters coach. A couple of old shirts, some programmes from over the years and some newspaper cutting. ","The club is there as part of my life since 1989, I can mark off various milestones in my life against games. I've experience the highs and lows over time, realising everything goes in cycles and what we're experiencing at the moment has all happened before in some ways. The Eagles have been a chance for myself, my dad and my sister to spend time together at games home or away, whether that's sharing in the good times or arguing about the bad times. ",All the ones set out in the background to the project and from the responses so far.,"Being part of the project steering group, Taking part in researching the history of the club, Carrying out interviews with players, staff or supporters to gather their stories, Cataloguing, digitising and recording memorabilia, Attending events and talks about the history of the club, Taking part in researching the history of the area, Helping write about the club for newsletters, exhibitions, leaflets and publications, Researching players - the games they played for their club, their backgrounds, their stories, Talking with people who aren't supporters about the project, getting them involved, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc","All as set out in the background document - raising the profile of the club, capturing people's stories before it's too late, bringing together the stories for the first time and making people realise the value of the club to Sheffield and rugby league. ","As set out in the background document - the club deserves to be acknowledged for what it has achieved against the odds, other clubs have had similar projects and we can do it even better than them returning to the city in 2022 is perfect timing. ",Nothing else to add.,Male,50-59,White,S9,,,
9/8/2021 13:00:17,A current Sheffield Eagles fan who attends games,2001 - 2010,Someone who attends games home or away on a regular basis,Sunday ,I was invited to a birthday party there in 2008 and just loved going to Don Valley. I also really liked the colours of the scarves and hats that were on sale!,Winning at Wembley in 2019.,Yes I have a substantial collection of shirts and quite a few programmes as well. I also have a couple of custom made flags which could be displayed ,Everything! I've met my best mates through it. With it being such a small club it really makes you feel that when you're there singing in the stands it really makes a difference to the players. The club has a real family feel. ,"Our promotion to the 1st Division, winning in the World Club Challenge, Challenge Cup win, the merger and rise of the club to back to back championships. The nomadic  years and the return to Wembley. I think it would be nice to hear from staff, players and fans for their perspectives on this ","Taking part in researching the history of the club, Carrying out interviews with players, staff or supporters to gather their stories, Attending events and talks about the history of the club, Helping write about the club for newsletters, exhibitions, leaflets and publications, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc","For me personally I think it would compliment me history degree very nicely and be a great thing to put on my CV! For rugby league I think the sport, just looking at crowds this season, is very much struggling to recover from the pandemic. I think a sentimental look into the past would help provide a much needed shot in the arm. And similarly for the Eagles I think the timing is right following the struggle on and off the field over the last 9 years. I think with the new stadium in Sheffield it is time to rediscover much of the identity that I think the club has lost.","Of course there is a need. The Eagles before 2016 were very much a community focused club. I think reaching out to people through this project, people who may have lost contact with the club, is crucial. This is particularly so at a time where many people are struggling mentally as a result of the pandemic. For some re-connecting with the club and re-sparking that interest could be beneficial for their mental wellbeing. ",,Male,16-25,White,S13,,,
9/8/2021 13:10:28,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who attends games home or away on a regular basis,Dewsbury at home 5th September ,"Players went to my son's school and he started to go to games with his dad. I was curious so went along, I was hooked from then ",Wembley 98,Photos newspaper cuttings ,It means the world to me. Shed many a tear when I thought we would lose the club ,"Wembley,  how we survived the merger . Mark and the loyal fans , sponsors and directors that stood by us ",Attending events and talks about the history of the club,Hope it brings in more fans and gets people interested in the game ,As above,,Female,70 or older,White,S8,,,
9/8/2021 13:12:39,A player or member of club staff,,,,,,,Community and colleagues ,The great stories of player exploits that I was told when I first started ,"Attending events and talks about the history of the club, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc","Promotion and recruitment of fans, players and staff",Yes,It sounds like a great idea!!! ,Male,25-39,White,NG5,,,
9/8/2021 14:13:28,A current Sheffield Eagles fan who attends games,2001 - 2010,Someone who attends games home or away on a regular basis,Sunday 5th of September at home vs dewsbury,Free tickets from a family friend ,There are too many to choose from but it either has to be winning at Wembley in 2019 or beating Wakefield in the super 8's competition in 2015. Playing London at home in 2013 in the challenge Cup quarter final was also special.,I have a lot of Jerseys from after 2011 as well as some jerseys from before the eagles were re-formed. I also have some posters and programmes and pictures of being at games with mates.,Sheffield Eagles mean everything to me. When I was younger life would pretty much revolve around them! Nowadays they are still a massive part of my life and I have made some friends for life through going to matches.,"I think winning at Wembley in 1998 has to be shared, as well as our rise back up the leagues after the failed merger with Huddersfield and also the fact that the club has know relative success between 2012 and 2021 despite not having a permanent home ground for 8 of the last 9 years.","Carrying out interviews with players, staff or supporters to gather their stories, Attending events and talks about the history of the club, Helping write about the club for newsletters, exhibitions, leaflets and publications, Talking with people who aren't supporters about the project, getting them involved","I think it is important to have the history of the club put on record and documented as it will help raise the profile of the club, as well as demonstrate our rich history despite our relatively short time as a club.","Yes. As a result of not having a home venue for 8 years, the history of the club can become blurred and forgotten about. A project such as this will help consolidate our history.",,Male,16-25,White,S13,,,
9/8/2021 16:33:33,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1984 - 1990,Someone who occasionally attends home games,2019,I played for the Junior Eagles ,1998,"Yes, Loads of programmes.

I do have something I consider really special,  I would loan to the project. When the team beat Chorley Borough at Owlerton in 1989, I was pitchside with a few of the other Junior Eagles' youngsters and Gary Hetherington asked us not to invade the pitch until the cameras had captured the moment and celebrations.   We obliged and we were invited on to celebrate with the players once the cameras had done.  We went on the sludgy pitch and celebrated, Tubby gave me the last slaver of champagne  from  a bottle.  I saved that bottle, and still have it.  Happy to loan it, but wouldn't want to give it up, Thanks to finding Rugby League through Sheffield Eagles and Junior Eagles, 1989 was one of the happiest, most memorable years of my youth! ","Sheffield Eagles were paramount to my social development.  I'm from Rotherham and all my friends were into footy, I was crap at it.   I then met Ged Morrow, who was  a coach at the Junior Eagles, under the Sheffield and district development programme headed by (initially) Tim Butcher.  I quickly became hooked on the sport and got a season ticket, and traveled to a lot of the away games as well.   I made friends for life.  I did play  a season for the academy and although I didn't spend loads of time around the first team, I bumped in to Mark Aston at Winter Wonderland in London in 2019,   who remembered me and we had a brief discussion about what Corey was upto etc.  Sheffield Eagles mean a lot to me.   ","The nomadic years (past and current), Local grass roots successes Jason Davidson and Rich Armswood.  Joe Dakitoga's age story.   Big name signings - Cliff Lyons, Garry Jack, Hugh Waddell, Lee Jackson.  The went on to achieve greatness stories - Keith Senior, Tawera Nikau. ","Being part of the project steering group, Taking part in researching the history of the club, Carrying out interviews with players, staff or supporters to gather their stories, Taking part in researching the history of the area","Personally, I would like to reignite my love of the game, I'm now a football fan; sadly I feel the game of Rugby League is not what it used to be.   As I feel this way there must be many others that feel the same, I remember owlerton having decent(ish) numbers of supporters in attendance.  Maybe if some of these could be engaged, they would come along with their kids and grandkids, so perhaps the heritage project could provoke a feeling of nostalgia and bring people back to the Eagles. ","I do, but I feel this needs to be developed in conjunction with the development of the club and its long term strategy.  The project should be launched as the team performances become consistent and display determination.     

As stated in my last answer,  a well thought through project may re-engage people who have drifted away.  I haven't seen any of the recent games, but follow closely on social media and reading the comments 'lackluster' is a (nice) word I'd use to describe the performances.  If the club want old-school fans to return, there needs to be 'fire in the bellys attitude of the team'.  I remember Mark Aston on 'Scrumdown' saying something along the line of ""we need to go out there and bust some heads""  Obviously, no heads were 'busted' but it was said with passion, that's what the old schoolers want to see.  If effort and passion is displayed week on week, as long as every game isn't a loss, I think there'd be a chance of winning back some of the people that this project should engage.  ","Whether it is the heritage project or the club that should do this, I think an opportunity has been missed over recent years.  There are a fair few SY amateur clubs that  are in existence, or no longer exist.

Why not organise 're-union' afternoons for these groups of players, offering free tickets, to get them through the gate?  Only one team per game, but it will be old friends meeting up for  a drink and a pie, watching the game.  Perhaps if the club will make money from food and drink sales at the legacy park, it would be more advantageous waiting until then, but again this project could bring people back to the club.
",Male,40-49,White,S62,,,
9/8/2021 21:58:13,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,5.9.21,My father was friendly with a rep from stone's who asked if we would like to watch a game.he gave my father two season tickets! I've been hooked ever since.sadly my father could not forgive the goings on around the Shuderfield merger and turned his back on rugby league.,"Obviously both Wembley appearances. But I also used to watch the academy games back in the late 80's/early 90's and remember watching a tall thin kid with long flowing blond hair who looked quite quick out on the fringes. What ever happened to him? Keith something I think his name was!

",I have some programs I would gladly donate,When it's been a tough week or two in life or at work. I know watching the Eagles give it there best shot win loose or draw is the best couple of hours of therapy I could have.,"Mark Aston. Absolute Sheffield sporting hero. I wish he could get the recognition he deserves and should have from the city and the wider rugby league family,  he speaks his mind which is a breath of fresh air in these strange times. But the people who play politics and are in positions of power and influance don't like straight talk which is a shame because that's probably one of the reasons rugby league stumbles from one crisis to another.",Attending events and talks about the history of the club,"The club has always been fighting above its weight fighting adversity is second nature to the Eagles.I think this has been due to the absolutely outstanding off field teams of various Chairman, Directors, Managers, Support Staff, Volunteers not forgetting of course the amazing players.With the roots and foundations of a permanent  home for the Sheffield Eagles at long last looking like materialising this project will help with reconnecting the fans and community's with this great club. The opportunities that will surely come must be fully optimised. When it comes down to it, it's all about generating money. You can't do all the good stuff without the finances. It's a new beginning don't blow it.","See above. It's about capturing history before it's lost, telling the story, connecting with people. Look what we've had, look what we've got.",Please make sure you capture the unsung heroes.,Male,50-59,White,S13,,,
9/9/2021 12:54:29,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,5th September 2021,My children starting rugby league coaching at Hillsborough Eagles,"Watching the 1998 Challenge Cup Final with my wife and children, the day after my father's funeral",I have the press cuttings from the 1998 Challenge Cup Final,"I feel part of the Eagles family, proud to be associated with a club which exemplifies the community focus of rugby league. ","The stories of the overseas players, particularly those from Papua New Guinea especially Menzie Yere. The response of supporters to financial crises.","Taking part in researching the history of the club, Attending events and talks about the history of the club, Taking part in researching the history of the area",It would allow people who have not previously carried out any kind of research to develop skills through involvement with an organisation they love. Rugby League needs to remember the experiences of clubs which are not part of the M62 corridor mainstream - they offer much to help with expansion of the sport.,"If timely research is not carried out the experiences of participants will be lost, and the only information will come from media records, which are always partial. ",,Male,60-69,White,S6,,,
9/9/2021 13:25:57,A current Sheffield Eagles fan who attends games,2001 - 2010,Someone who attends games home or away on a regular basis,Sunday 5th September 2021,My Mum is a huge fan,Meeting some of my best friends and celebrating many great games such as 1895 Cup. ,Yes,Sheffield Eagles means everything to me it's like a part of my family. ,The fact that with no home ground and little resources we've managed to be a top competitive side and win silverware too. ,"Attending events and talks about the history of the club, Talking with people who aren't supporters about the project, getting them involved",It's a great opportunity for people to hear stories about this amazing club that get pushed under the carpet in a huge football city. ,It brings opportunities for everyone to get involved in a great sport. ,,Male,16-25,White,S20,,,
9/9/2021 17:47:54,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,5th September 2021,"Following Mark Aston and Daryl Powell visiting my school in early 1988 to provide an intro to Rugby League in a PE class, I attended a Sheffield Eagles Summer School day.  As part of this I was given a half price voucher for the remainder of the 1988/89 season.  I went to a few matches and got hooked.","The victory against Widnes 31-06 at Bramall Lane in the 1989/90 season, our first in the top flight.  The match was only a few days after Widnes had won the world club championship, and were considered almost unbeatable.","I have a number of programmes from the late 80's onwards.  I do not have them for every match I attended, but for quite a few in the 80's and 90's.","I am a supporter, and have been for over 30 years.  In the past, when I lived in Sheffield, I followed the club home and away.  Since moving away from the city, it is a reason to go back, to see my family and to watch a match with my Dad. I have never really sort to be anything other than a supporter, going to those matches I can, but this support has been an important part of my life.","I am not sure I have stories really.  There were a couple of amusing incidents when I first watched games back at Owlerton, David Nelson turning up late for a game because the clocks had changed and he had not noticed.  My memory is not great, but there was a book celebrating the first 1st decade of the club, written by John Cornwell and Richard Pepper, which has some interesting snippets. 
The club has had some significant links to the game in South Yorkshire, with Hillsborough Hawks, forming out of the Junior Eagles set up around 1993 or 1994, and numerous links to other amateur teams.  I think this area deserves to be mentioned.",Attending events and talks about the history of the club,"For me personally, it would be nice to have the importance of the club to those people involved highlighted.  Also, to fill in some gaps in my knowledge and memories.
For the sport in general I think it is important to highlight the importance it has on a community, to record the history.  Rugby League does not keep records well, or at least not publically, and I think that is a shame, there is much to be proud of.
For the club ti is important to reconnect to the community, the years of not having a home in our city has hurt us, and that reconnection is important, we are a club for the community and looking back reminds us of that.",,Thank you for taking on this project.,Male,40-49,White,LE12,,,
9/10/2021 4:13:39,None of the above but are interested in the project,2011- 2021,A fan from Australia,2014,My family roots are in Sheffield and I am a rugby league fan,Challenge Cup,No,Eagle is a symbol of strength.  Sheffield Eagles should be a major player in Super League,"The memory of a game where fans from Workington devised a chant against Sheffield. ""We don't like Yorkshire Pudding""  The Sheffield lads countered with their own chant ""Ye haven't tried it"".  To an Aussie this duelling chants was very funny and unique","Carrying out interviews with players, staff or supporters to gather their stories, Being a contact in Australia for any task I could assist in.",I have seen how the creation of a heritage project can strengthen the bond between club and its fans.  It can build a permanent bond which forges a pathway from our history to the present and beyond.  Players respond to this kind of link.  They see how they can play a meaningful role in something that means more than simply playing football.,As custodians of the game it is essential that we do everything possible to preserve the history for future generations.  A Heritage project like the one proposed will help realise this goal.,I have seen similar projects here in Australia with clubs in Australian Rules.  It has had a marked impact on fans and players alike.,Male,60-69,White,3204,,,
